Capacitor 1	Capacitor 2	Capacitor 3	Capacitor 4	Capacitor 5	Capacitor 6	Capacitor 7	Suma de capacitores individuales	Capacitancia equivalente
985	981	71	404	161	594	151	3347	30.20094256
308	304	635	787	229	731	744	3738	60.75125457
829	321	97	270	290	626	497	2930	39.381999
228	243	241	510	104	389	608	2323	35.15906296
604	668	394	329	326	46	102	2469	23.07297057
454	265	543	786	461	398	452	3359	62.56153347
33	767	22	179	658	70	368	2097	9.884273802
118	899	175	385	925	372	997	3871	44.10945998
82	399	930	210	259	151	167	2198	27.01964733
11	864	842	130	346	304	49	2546	7.841030027
58	545	574	234	689	413	292	2805	30.87444127
594	892	989	880	3	199	665	4222	2.900111891
552	717	247	882	671	913	904	4886	82.77829045
19	674	447	863	583	886	316	3788	15.74316364
968	417	290	693	900	89	605	3962	44.79809972
683	886	604	854	21	803	958	4809	18.07416017
803	568	778	9	772	666	313	3909	8.237634128
795	623	813	312	677	923	360	4503	79.13618205
390	48	682	249	192	289	979	2829	25.92704266
392	97	364	214	159	575	628	2429	33.44342463
975	318	42	719	889	40	573	3556	17.47008697
766	847	325	104	409	875	700	4026	49.51758824
521	890	213	754	548	489	938	4353	71.42866171
932	626	871	576	559	672	207	4443	73.19281053
759	217	37	711	738	79	838	3379	20.17517149
941	748	391	370	841	428	706	4425	79.35383791
641	740	96	299	17	870	237	2900	12.36630081
920	393	741	924	978	198	900	5054	75.48664971
737	567	355	166	372	212	516	2925	46.93809654
574	212	196	412	49	202	661	2306	24.47388231
932	949	724	776	206	554	25	4166	19.43407941
158	832	946	181	533	428	526	3604	49.43949646
473	527	994	252	634	689	957	4526	76.57210425
677	759	958	896	253	527	629	4699	80.68115425
211	96	970	373	420	653	640	3363	41.08000636
727	458	91	275	915	686	74	3226	29.19841686
302	492	97	693	680	718	7	2989	6.141881876
531	685	295	950	124	39	853	3477	23.4392781
963	490	366	995	799	279	940	4832	78.64029593
644	556	352	244	271	661	715	3443	59.1991882
500	581	205	19	911	804	673	3693	15.37086244
555	667	719	171	909	626	434	4081	64.34373952
99	502	229	592	901	282	530	3135	40.49925366
169	600	492	785	269	639	244	3198	49.3315328
4	995	763	267	504	714	603	3850	3.829891223
565	151	335	479	898	628	576	3632	55.84333829
475	129	778	508	13	670	840	3413	10.78549201
100	233	974	812	129	574	886	3708	36.80146261
245	12	852	187	814	923	821	3854	10.25996493
555	40	90	831	923	810	335	3584	22.512712
142	620	843	95	104	64	968	2836	21.44029255
76	299	788	162	847	400	489	3061	33.70421599
783	675	261	847	389	957	451	4363	73.50996986
728	585	861	27	856	605	406	4068	21.4750451
748	536	557	817	211	700	885	4454	73.96589864
398	489	374	525	204	539	542	3071	56.37493997
945	726	215	606	535	403	78	3508	38.5981155
542	221	119	905	871	291	533	3482	44.7648746
755	20	406	771	628	940	780	4300	16.94260175
556	993	375	619	277	349	896	4065	68.12316123
