Medición	Capacitor 1	Capacitor 2	Capacitor 3	Capacitor 4	Capacitor 5	Capacitor 6	Capacitor 7	Suma de capacitores individuales	Capacitancia equivalente
1	1	1	1	1	1	1	2.718281828	8.718281828	0.157038149
2	1	1	1	1	1	1	5.436563657	11.43656366	0.161709209
3	1	1	1	1	1	1	8.154845485	14.15484549	0.163328598
4	1	1	1	1	1	1	10.87312731	16.87312731	0.164150517
5	1	1	1	1	1	1	13.59140914	19.59140914	0.16464765
6	1	1	1	1	1	1	16.30969097	22.30969097	0.164980749
7	1	1	1	1	1	1	19.0279728	25.0279728	0.165219503
8	1	1	1	1	1	1	21.74625463	27.74625463	0.165399023
9	1	1	1	1	1	1	24.46453646	30.46453646	0.165538919
10	1	1	1	1	1	1	27.18281828	33.18281828	0.165651007
11	1	1	1	1	1	1	29.90110011	35.90110011	0.165742828
12	1	1	1	1	1	1	32.61938194	38.61938194	0.165819423
13	1	1	1	1	1	1	35.33766377	41.33766377	0.165884289
14	1	1	1	1	1	1	38.0559456	44.0559456	0.16593993
15	1	1	1	1	1	1	40.77422743	46.77422743	0.165988182
16	1	1	1	1	1	1	43.49250926	49.49250926	0.166030425
17	1	1	1	1	1	1	46.21079108	52.21079108	0.166067717
18	1	1	1	1	1	1	48.92907291	54.92907291	0.166100879
19	1	1	1	1	1	1	51.64735474	57.64735474	0.166130561
20	1	1	1	1	1	1	54.36563657	60.36563657	0.166157285
21	1	1	1	1	1	1	57.0839184	63.0839184	0.16618147
22	1	1	1	1	1	1	59.80220023	65.80220023	0.166203463
23	1	1	1	1	1	1	62.52048205	68.52048205	0.166223549
24	1	1	1	1	1	1	65.23876388	71.23876388	0.166241965
25	1	1	1	1	1	1	67.95704571	73.95704571	0.166258912
26	1	1	1	1	1	1	70.67532754	76.67532754	0.166274558
27	1	1	1	1	1	1	73.39360937	79.39360937	0.166289047
28	1	1	1	1	1	1	76.1118912	82.1118912	0.166302504
29	1	1	1	1	1	1	78.83017303	84.83017303	0.166315035
30	1	1	1	1	1	1	81.54845485	87.54845485	0.166326732
31	1	1	1	1	1	1	84.26673668	90.26673668	0.166337676
32	1	1	1	1	1	1	86.98501851	92.98501851	0.166347938
33	1	1	1	1	1	1	89.70330034	95.70330034	0.166357578
34	1	1	1	1	1	1	92.42158217	98.42158217	0.166366653
35	1	1	1	1	1	1	95.139864	101.139864	0.166375209
36	1	1	1	1	1	1	97.85814582	103.8581458	0.166383292
37	1	1	1	1	1	1	100.5764277	106.5764277	0.166390938
38	1	1	1	1	1	1	103.2947095	109.2947095	0.166398182
39	1	1	1	1	1	1	106.0129913	112.0129913	0.166405056
40	1	1	1	1	1	1	108.7312731	114.7312731	0.166411586
